Date,Price,Open,High,Low,Vol.,Change %
20-Apr-20,53.89,52.89,54.29,52.53,-,2.47%
17-Apr-20,52.59,53.15,53.86,52.59,-,-0.59%
16-Apr-20,52.9,52.72,53.4,52.13,-,0.30%
15-Apr-20,52.74,52.41,53.16,51.9,-,0.59%
14-Apr-20,52.43,52.7,53.05,52.38,-,-0.96%
13-Apr-20,52.94,54.39,54.52,52.36,-,-2.70%
9-Apr-20,54.41,53.84,54.49,53.09,-,1.13%
8-Apr-20,53.8,52.65,54.12,52.24,-,1.99%
7-Apr-20,52.75,53.23,53.58,52.38,-,-0.55%
6-Apr-20,53.04,51.14,53.85,49.32,-,3.92%
3-Apr-20,51.04,50.2,51.16,49.66,-,2.31%
2-Apr-20,49.89,48.83,51.48,48.6,-,2.13%
1-Apr-20,48.85,50.81,51.27,48.36,-,-4.48%
31-Mar-20,51.14,50.64,51.73,49.47,-,0.93%
30-Mar-20,50.67,50.83,51.12,48.85,-,-0.98%
27-Mar-20,51.17,52.82,53.3,51.16,-,-3.11%
26-Mar-20,52.81,53.45,54,52.51,-,-1.25%
25-Mar-20,53.48,53.26,54.27,52.23,-,0.53%
24-Mar-20,53.2,52.21,54.77,51.19,-,2.45%
23-Mar-20,51.93,52.72,52.72,50.68,-,-3.28%
20-Mar-20,53.69,55.41,56.37,53.21,-,-3.02%
19-Mar-20,55.36,56.37,57,53.64,-,-2.60%
18-Mar-20,56.84,57.89,58.56,55.66,-,-1.93%
17-Mar-20,57.96,58.8,59.68,57.86,-,-1.38%
16-Mar-20,58.77,59.69,59.69,58.12,-,-2.86%
13-Mar-20,60.5,59.36,61.9,58.58,-,1.24%
12-Mar-20,59.76,61.52,61.52,59.36,-,-2.92%
11-Mar-20,61.56,61.49,61.94,61.31,-,0.31%
10-Mar-20,61.37,61.76,62.87,61.02,-,0.20%
9-Mar-20,61.25,61.92,62.47,60.5,-,-2.51%
6-Mar-20,62.83,63.07,63.27,62.36,-,-0.84%
5-Mar-20,63.36,63.64,64.14,62.74,-,0.52%
4-Mar-20,63.03,62.97,64.08,62.91,-,0.49%
3-Mar-20,62.72,63.79,65.05,62.64,-,-1.20%
2-Mar-20,63.48,61.84,64.24,61.75,-,2.72%
28-Feb-20,61.8,62.63,62.72,60.17,-,-1.15%
27-Feb-20,62.52,65.38,65.38,62.49,-,-4.39%
26-Feb-20,65.39,66.67,66.73,65.38,-,-1.58%
25-Feb-20,66.44,66.96,67.75,66.16,-,-1.07%
24-Feb-20,67.16,68.14,68.16,66,-,-2.17%
21-Feb-20,68.65,68.56,68.98,68.09,-,-0.16%
20-Feb-20,68.76,68.52,68.8,67.72,-,0.39%
19-Feb-20,68.49,68.06,69.04,68.06,-,0.75%
18-Feb-20,67.98,67.97,68.91,67.84,-,0.88%
14-Feb-20,67.39,67.7,67.93,67.21,-,-0.49%
13-Feb-20,67.72,68.48,68.56,67.72,-,-1.08%
12-Feb-20,68.46,68.31,68.79,67.82,-,0.23%
11-Feb-20,68.3,68.09,68.55,67.99,-,0.31%
10-Feb-20,68.09,67.7,68.36,67.67,-,0.43%
7-Feb-20,67.8,67.84,67.98,67.1,-,-0.15%
6-Feb-20,67.9,67.69,68.2,67.52,-,0.31%
5-Feb-20,67.69,67.64,68.42,67.31,-,0.16%
4-Feb-20,67.58,67.06,68.21,66.95,-,1.11%
3-Feb-20,66.84,67.16,68.05,66.76,-,-0.86%
31-Jan-20,67.42,68.98,69.34,67.41,-,-2.22%
30-Jan-20,68.95,69.99,70.03,68.55,-,-1.60%
29-Jan-20,70.07,70.38,70.91,69.88,-,-0.30%
28-Jan-20,70.28,69.16,70.59,69.08,-,1.20%
27-Jan-20,69.45,69.28,69.82,68,-,-0.04%
