DATE,CLOSING PRICE,OPEN,DAILY HIGH,DAILY LOW
4/20/2015,57.8,58.07,58.61,56.45
4/21/2015,56.61,57.65,58.02,56.14
4/22/2015,56.29,55.75,57.14,55.74
4/23/2015,57.5,56.26,58.38,55.77
4/24/2015,57.2,57.44,57.93,56.51
4/27/2015,56.81,57.05,57.87,56.54
4/28/2015,57.02,56.25,57.82,56.15
4/29/2015,58.49,56.93,59.31,56.55
4/30/2015,59.63,58.55,59.77,58.44
5/1/2015,59.33,59.73,59.88,58.36
5/4/2015,58.97,59.13,59.73,58.47
5/5/2015,60.4,58.9,61.08,58.66
5/6/2015,60.62,61.4,62.57,60.56
5/7/2015,58.81,60.64,61.31,58.55
5/8/2015,60.4,59.58,60.81,59.1
5/11/2015,60.29,60.3,60.76,59.72
5/12/2015,61.37,60.16,62.14,60.11
5/13/2015,61.03,62.27,62.71,61.01
5/14/2015,60.75,61.34,61.8,60.4
5/15/2015,60.67,60.65,60.82,59.33
5/18/2015,60.48,60.72,61.7,59.88
5/19/2015,58.12,60.28,60.31,57.96
5/20/2015,58.73,58.38,59.02,58.11
5/21/2015,60.66,59.18,60.93,59.09
5/22/2015,59.9,60.59,60.77,59.37
5/25/2015,59.8,59.73,60.24,59.12
5/26/2015,58.26,59.88,59.92,57.74
5/27/2015,57.66,58.6,58.95,57.43
5/28/2015,57.88,57.76,58.02,56.53
5/29/2015,60.18,58.22,60.69,57.75
6/1/2015,60.31,59.81,60.55,59.34
6/2/2015,61.32,60.19,61.56,60.13
6/3/2015,59.74,60.85,61.24,59.35
6/4/2015,58.19,59.59,59.92,57.84
6/5/2015,58.94,58.01,59.22,56.87
6/8/2015,58.34,58.68,59.12,57.87
6/9/2015,59.89,58.46,60.37,58.24
6/10/2015,61.18,61.09,61.81,60.5
6/11/2015,61.1,61.61,61.91,60.65
6/12/2015,60.43,60.75,60.85,60.19
6/15/2015,60.1,60.21,60.41,59.2
6/16/2015,60.47,60.65,60.82,59.88
6/17/2015,60.25,60.51,61.81,59.36
6/18/2015,60.75,60.03,61.3,59.68
