oil,DATE_year,DATE_month,DATE_day,gold,coffee,corn,cotton,lumber,wheat,snp
56.61,2015,4,21,"1,202.68",140.3,373.0,63.03,242.9,500.5,2097.290039
56.29,2015,4,22,"1,187.25",142.4,372.5,63.09,252.9,499.13,2107.959961
57.5,2015,4,23,"1,194.05",140.45,370.75,65.42,252.7,498.13,2112.929932
57.2,2015,4,24,"1,179.65",141.15,364.5,66.31,258.5,486.38,2117.689941
56.81,2015,4,27,"1,202.10",136.1,360.75,66.14,256.2,473.88,2108.919922
57.02,2015,4,28,"1,212.10",138.15,361.0,66.15,251.5,476.38,2114.76001
58.49,2015,4,29,"1,209.00",138.35,363.75,67.24,253.0,483.88,2106.850098
59.63,2015,4,30,"1,186.50",136.55,362.5,67.66,256.3,475.38,2085.51001
59.33,2015,5,1,"1,178.50",133.45,359.75,66.39,256.3,473.88,2108.290039
58.97,2015,5,4,"1,188.20",131.85,358.75,66.75,245.3,472.75,2114.48999
60.4,2015,5,5,"1,193.33",132.55,361.25,66.38,242.0,466.75,2089.459961
60.62,2015,5,6,"1,191.80",128.05,366.5,66.0,244.2,479.25,2080.149902
58.81,2015,5,7,"1,184.80",130.85,357.75,65.6,237.5,472.63,2088.0
60.4,2015,5,8,"1,187.90",132.9,358.5,66.13,234.6,482.38,2116.100098
60.29,2015,5,11,"1,184.20",133.35,358.25,65.47,237.6,481.63,2105.330078
61.37,2015,5,12,"1,193.50",134.5,357.0,65.19,234.0,481.38,2099.1201170000004
61.03,2015,5,13,"1,215.38",134.4,356.0,65.74,236.5,481.63,2098.47998
60.75,2015,5,14,"1,217.70",135.65,361.0,66.49,247.5,514.63,2121.100098
60.67,2015,5,15,"1,224.25",137.2,365.5,66.58,238.7,510.75,2122.72998
60.48,2015,5,18,"1,225.80",141.65,368.0,64.89,257.7,521.88,2129.199951
58.12,2015,5,19,"1,212.20",139.85,362.0,64.4,262.5,510.63,2127.830078
58.73,2015,5,20,"1,209.90",136.0,360.0,64.23,272.0,512.5,2125.850098
60.66,2015,5,21,"1,206.45",128.45,365.0,63.78,269.6,520.5,2130.820068
59.9,2015,5,22,"1,205.95",126.95,360.0,63.33,273.8,515.0,2126.060059
58.26,2015,5,26,"1,182.30",124.05,355.0,63.38,276.2,492.63,2104.199951
57.66,2015,5,27,"1,188.15",124.5,349.5,63.19,274.4,488.25,2123.47998
57.88,2015,5,28,"1,188.45",125.15,353.5,64.5,272.5,487.38,2120.790039
60.18,2015,5,29,"1,190.50",126.15,351.5,64.44,274.1,477.88,2107.389893
60.31,2015,6,1,"1,189.15",129.8,352.25,63.74,266.2,494.75,2111.72998
61.32,2015,6,2,"1,193.60",132.7,359.0,63.74,265.4,512.63,2109.600098
59.74,2015,6,3,"1,185.30",134.3,359.0,65.25,275.4,509.13,2114.070068
