oil,DATE_year,DATE_month,DATE_day,gold,coffee,corn,cotton,lumber,wheat,snp
56.61,2015,4,21,1202.68,140.30,373.00,63.03,242.90,500.50,2097.29
56.29,2015,4,22,1187.25,142.40,372.50,63.09,252.90,499.13,2107.96
57.50,2015,4,23,1194.05,140.45,370.75,65.42,252.70,498.13,2112.93
57.20,2015,4,24,1179.65,141.15,364.50,66.31,258.50,486.38,2117.69
56.81,2015,4,27,1202.10,136.10,360.75,66.14,256.20,473.88,2108.92
57.02,2015,4,28,1212.10,138.15,361.00,66.15,251.50,476.38,2114.76
58.49,2015,4,29,1209.00,138.35,363.75,67.24,253.00,483.88,2106.85
59.63,2015,4,30,1186.50,136.55,362.50,67.66,256.30,475.38,2085.51
59.33,2015,5,1,1178.50,133.45,359.75,66.39,256.30,473.88,2108.29
58.97,2015,5,4,1188.20,131.85,358.75,66.75,245.30,472.75,2114.49
60.40,2015,5,5,1193.33,132.55,361.25,66.38,242.00,466.75,2089.46
60.62,2015,5,6,1191.80,128.05,366.50,66.00,244.20,479.25,2080.15
58.81,2015,5,7,1184.80,130.85,357.75,65.60,237.50,472.63,2088.00
60.40,2015,5,8,1187.90,132.90,358.50,66.13,234.60,482.38,2116.10
60.29,2015,5,11,1184.20,133.35,358.25,65.47,237.60,481.63,2105.33
61.37,2015,5,12,1193.50,134.50,357.00,65.19,234.00,481.38,2099.12
61.03,2015,5,13,1215.38,134.40,356.00,65.74,236.50,481.63,2098.48
60.75,2015,5,14,1217.70,135.65,361.00,66.49,247.50,514.63,2121.10
60.67,2015,5,15,1224.25,137.20,365.50,66.58,238.70,510.75,2122.73
60.48,2015,5,18,1225.80,141.65,368.00,64.89,257.70,521.88,2129.20
58.12,2015,5,19,1212.20,139.85,362.00,64.40,262.50,510.63,2127.83
58.73,2015,5,20,1209.90,136.00,360.00,64.23,272.00,512.50,2125.85
60.66,2015,5,21,1206.45,128.45,365.00,63.78,269.60,520.50,2130.82
59.90,2015,5,22,1205.95,126.95,360.00,63.33,273.80,515.00,2126.06
58.26,2015,5,26,1182.30,124.05,355.00,63.38,276.20,492.63,2104.20
57.66,2015,5,27,1188.15,124.50,349.50,63.19,274.40,488.25,2123.48
57.88,2015,5,28,1188.45,125.15,353.50,64.50,272.50,487.38,2120.79
60.18,2015,5,29,1190.50,126.15,351.50,64.44,274.10,477.88,2107.39
60.31,2015,6,1,1189.15,129.80,352.25,63.74,266.20,494.75,2111.73
61.32,2015,6,2,1193.60,132.70,359.00,63.74,265.40,512.63,2109.60
59.74,2015,6,3,1185.30,134.30,359.00,65.25,275.40,509.13,2114.07
58.19,2015,6,4,1177.10,135.70,363.50,65.18,283.50,523.13,2095.84
58.94,2015,6,5,1172.00,135.10,360.50,64.67,291.20,517.00,2092.83
58.34,2015,6,8,1174.05,136.55,365.25,64.90,293.10,527.63,2079.28
59.89,2015,6,9,1176.70,137.35,365.00,64.79,289.30,532.75,2080.15
61.18,2015,6,10,1185.85,136.45,357.25,64.99,296.70,512.63,2105.20
61.10,2015,6,11,1187.00,132.00,356.50,63.90,291.30,505.13,2108.86
60.43,2015,6,12,1181.30,132.05,353.00,64.39,296.10,504.25,2094.11
60.10,2015,6,15,1186.40,127.80,348.25,63.49,296.40,488.88,2084.43
60.47,2015,6,16,1181.88,129.35,354.00,64.64,293.10,488.63,2096.29
60.25,2015,6,17,1185.45,126.65,359.25,64.28,298.70,491.63,2100.44
60.75,2015,6,18,1206.00,128.70,358.00,64.28,298.10,487.88,2121.24
59.78,2015,6,19,1204.00,127.15,353.25,63.74,298.60,488.88,2109.99
60.17,2015,6,22,1185.45,130.35,360.00,64.06,294.10,501.75,2122.85
61.09,2015,6,23,1170.15,127.70,367.50,63.56,289.30,522.63,2124.20
60.27,2015,6,24,1175.20,133.30,366.50,64.57,288.90,518.13,2108.58
59.64,2015,6,25,1170.00,133.35,376.50,65.64,292.20,532.38,2102.31
59.58,2015,6,26,1174.80,131.70,385.00,67.39,292.20,560.75,2101.49
58.19,2015,6,29,1184.10,130.80,383.25,67.18,292.20,584.13,2057.64
59.32,2015,6,30,1172.60,130.65,414.00,67.89,288.30,616.63,2063.11
57.00,2015,7,1,1168.80,125.10,413.75,67.53,288.00,587.25,2077.42
56.53,2015,7,2,1172.10,125.60,419.75,67.11,288.50,588.25,2076.78
52.87,2015,7,6,1170.15,123.30,418.50,66.70,283.70,594.88,2068.76
52.96,2015,7,7,1164.70,122.90,415.75,65.84,281.20,584.38,2081.34
51.87,2015,7,8,1158.60,123.15,416.25,65.24,282.20,578.25,2046.68
52.82,2015,7,9,1159.65,122.75,421.25,65.86,288.80,577.38,2051.31
53.21,2015,7,10,1163.90,122.95,427.25,65.55,293.50,575.13,2076.62
52.68,2015,7,13,1158.00,126.60,433.50,65.63,293.00,575.50,2099.60
53.33,2015,7,14,1155.90,129.85,424.00,66.02,289.40,570.88,2108.95
51.83,2015,7,15,1149.65,128.00,429.50,65.04,290.90,567.13,2107.40
51.32,2015,7,16,1139.90,127.45,430.00,65.09,280.50,562.63,2124.29
51.14,2015,7,17,1134.10,127.00,420.25,65.24,278.20,554.25,2126.64
50.25,2015,7,20,1108.00,125.85,405.00,65.00,272.60,534.75,2128.28
50.89,2015,7,21,1101.45,123.85,406.50,64.39,266.50,523.88,2119.21
49.13,2015,7,22,1094.50,125.05,402.75,64.53,265.10,516.38,2114.15
48.61,2015,7,23,1090.80,121.55,403.25,64.68,269.40,522.50,2102.15
48.24,2015,7,24,1099.00,122.25,392.50,64.77,266.70,512.38,2079.65
47.07,2015,7,27,1094.33,120.40,373.00,63.78,257.70,502.13,2067.64
47.72,2015,7,28,1100.20,120.25,375.00,64.40,256.10,512.13,2093.25
48.88,2015,7,29,1114.00,122.15,367.75,63.87,251.60,496.00,2108.57
48.46,2015,7,30,1087.90,124.90,373.25,63.53,251.80,497.38,2108.63
46.90,2015,7,31,1094.53,125.25,371.00,64.07,252.10,498.13,2103.84
45.43,2015,8,3,1086.13,123.95,366.50,63.82,260.30,500.88,2098.04
45.82,2015,8,4,1082.90,124.90,368.75,63.53,258.70,493.75,2093.32
45.24,2015,8,5,1083.20,125.90,372.75,63.45,261.30,502.63,2099.84
44.76,2015,8,6,1089.60,124.25,369.75,62.33,260.80,507.13,2083.56
43.85,2015,8,7,1094.20,127.80,372.75,61.72,259.00,510.63,2077.57
44.77,2015,8,10,1096.50,133.50,390.25,61.80,259.10,523.63,2104.18
44.20,2015,8,11,1109.03,137.20,376.50,61.83,250.10,507.13,2084.07
44.08,2015,8,12,1126.60,131.85,357.25,64.69,253.20,493.75,2086.05
42.97,2015,8,13,1115.05,137.05,363.75,65.44,255.90,503.38,2083.39
42.68,2015,8,14,1113.70,137.50,364.00,66.12,252.70,505.88,2091.54
42.42,2015,8,17,1114.30,134.75,363.25,66.73,251.10,500.63,2102.44
42.86,2015,8,18,1118.00,135.30,366.25,66.70,250.60,495.50,2096.92
41.01,2015,8,19,1136.60,131.15,367.25,66.65,256.10,496.25,2079.61
40.84,2015,8,20,1163.00,127.65,371.00,66.97,255.40,504.13,2035.73
40.36,2015,8,21,1160.15,121.90,365.25,66.94,245.40,499.38,1970.89
38.13,2015,8,24,1155.15,117.50,368.75,64.09,240.10,504.25,1893.21
38.86,2015,8,25,1140.65,117.05,365.50,63.44,245.10,496.50,1867.61
38.97,2015,8,26,1125.55,118.70,361.75,62.45,242.50,491.00,1940.51
41.88,2015,8,27,1125.85,121.05,363.75,63.27,246.90,484.75,1987.66
45.38,2015,8,28,1133.98,120.45,363.25,63.14,237.10,477.63,1988.87
48.53,2015,8,31,1134.50,120.55,363.75,62.80,234.20,485.38,1972.18
45.22,2015,9,1,1140.00,117.05,356.00,62.63,235.00,485.63,1913.85
46.04,2015,9,2,1134.05,114.70,354.00,62.42,234.00,479.13,1948.86
46.87,2015,9,3,1122.00,116.20,347.75,62.74,232.90,464.88,1951.13
46.03,2015,9,4,1123.00,115.85,349.50,62.60,233.20,467.13,1921.22
45.90,2015,9,8,1121.80,117.70,355.00,63.28,231.70,475.13,1969.41
44.33,2015,9,9,1106.10,117.80,356.50,63.12,232.10,472.63,1942.04
45.70,2015,9,10,1111.65,113.05,361.75,63.06,241.80,478.13,1952.29
45.32,2015,9,11,1107.90,113.35,374.50,63.34,247.50,485.13,1961.05
44.49,2015,9,14,1108.80,117.00,379.00,62.71,246.30,501.38,1953.03
45.11,2015,9,15,1105.40,115.50,390.50,62.47,252.70,494.88,1978.09
47.54,2015,9,16,1119.55,113.80,386.00,62.62,242.50,488.88,1995.31
47.14,2015,9,17,1130.85,113.50,379.75,62.37,234.30,480.88,1990.20
45.22,2015,9,18,1139.40,113.35,377.25,60.47,231.80,486.63,1958.03
